vehicle_class,score_band,loan_type,ticket_bucket,base_size_scrub,avg_unique_users,avg_loans_opened,avg_amount_inr_cr,incidence_rate,avg_ticket_size_inr
No vehicle class,700-800,PL,0-50k,40937,1382.33,3006.25,2.6,0.073436,8639.0
No vehicle class,700-800,PL,50k-1L,40937,267.08,278.5,1.84,0.006803,66229.0
No vehicle class,700-800,PL,1L-2L,40937,196.75,201.67,2.68,0.004926,132655.0
No vehicle class,700-800,PL,2L-3L,40937,95.75,96.92,2.23,0.002367,230287.0
No vehicle class,700-800,PL,3L-4L,40937,62.33,62.67,2.05,0.001531,326791.0
No vehicle class,700-800,PL,4L-5L,40937,37.42,37.58,1.63,0.000918,433097.0
No vehicle class,700-800,PL,5L+,40937,182.17,189.92,20.34,0.004639,1071093.0
No vehicle class,700-800,GL,0-50k,40937,290.17,396.0,0.98,0.009673,24833.0
No vehicle class,700-800,GL,50k-1L,40937,174.92,221.0,1.56,0.005399,70638.0
No vehicle class,700-800,GL,1L-2L,40937,195.42,229.83,3.2,0.005614,139278.0
No vehicle class,700-800,GL,2L-3L,40937,95.58,109.42,2.59,0.002673,236942.0
No vehicle class,700-800,GL,3L-4L,40937,52.67,60.67,2.03,0.001482,335378.0
No vehicle class,700-800,GL,4L-5L,40937,28.67,32.67,1.45,0.000798,444288.0
No vehicle class,700-800,GL,5L+,40937,60.75,70.92,6.16,0.001732,869278.0
No vehicle class,700-800,BL,0-50k,40937,33.17,42.83,0.08,0.001046,17932.0
No vehicle class,700-800,BL,50k-1L,40937,17.17,17.58,0.11,0.00043,64070.0
No vehicle class,700-800,BL,1L-2L,40937,25.08,25.33,0.31,0.000619,121899.0
No vehicle class,700-800,BL,2L-3L,40937,11.58,11.67,0.27,0.000285,227475.0
No vehicle class,700-800,BL,3L-4L,40937,8.0,8.0,0.26,0.000195,319721.0
No vehicle class,700-800,BL,4L-5L,40937,4.0,4.0,0.17,9.8e-05,426740.0
No vehicle class,700-800,BL,5L+,40937,23.75,25.92,2.31,0.000633,892454.0
LMV,700-800,PL,0-50k,30550,571.92,1165.75,1.33,0.038159,11419.0
LMV,700-800,PL,50k-1L,30550,171.75,180.08,1.21,0.005895,67359.0
LMV,700-800,PL,1L-2L,30550,148.75,153.25,2.04,0.005016,132865.0
LMV,700-800,PL,2L-3L,30550,83.08,84.0,1.96,0.00275,233259.0
LMV,700-800,PL,3L-4L,30550,51.58,52.5,1.71,0.001718,326291.0
LMV,700-800,PL,4L-5L,30550,32.33,32.83,1.43,0.001075,434214.0
LMV,700-800,PL,5L+,30550,181.0,187.58,21.04,0.00614,1121701.0
LMV,700-800,GL,0-50k,30550,166.75,220.17,0.55,0.007207,24882.0
LMV,700-800,GL,50k-1L,30550,119.42,142.67,1.03,0.00467,71941.0
LMV,700-800,GL,1L-2L,30550,158.83,189.92,2.67,0.006217,140720.0
LMV,700-800,GL,2L-3L,30550,94.33,106.92,2.54,0.0035,237394.0
LMV,700-800,GL,3L-4L,30550,58.42,64.75,2.17,0.002119,334391.0
LMV,700-800,GL,4L-5L,30550,33.33,37.33,1.67,0.001222,446022.0
LMV,700-800,GL,5L+,30550,81.92,101.0,9.68,0.003306,958265.0
LMV,700-800,BL,0-50k,30550,18.08,20.83,0.04,0.000682,17817.0
LMV,700-800,BL,50k-1L,30550,12.25,12.58,0.08,0.000412,64388.0
LMV,700-800,BL,1L-2L,30550,14.83,15.08,0.19,0.000494,127649.0
LMV,700-800,BL,2L-3L,30550,9.25,9.67,0.22,0.000316,225556.0
LMV,700-800,BL,3L-4L,30550,7.83,7.92,0.25,0.000259,322062.0
LMV,700-800,BL,4L-5L,30550,4.25,4.25,0.19,0.000139,436509.0
LMV,700-800,BL,5L+,30550,32.83,37.58,3.85,0.00123,1023313.0
2WN,700-800,PL,0-50k,23079,759.42,1600.83,1.5,0.069363,9352.0
2WN,700-800,PL,50k-1L,23079,167.42,174.0,1.15,0.007539,66153.0
2WN,700-800,PL,1L-2L,23079,129.75,131.92,1.72,0.005716,130706.0
2WN,700-800,PL,2L-3L,23079,61.33,61.92,1.42,0.002683,229974.0
2WN,700-800,PL,3L-4L,23079,37.58,38.0,1.25,0.001647,327720.0
2WN,700-800,PL,4L-5L,23079,23.0,23.08,1.01,0.001,437737.0
2WN,700-800,PL,5L+,23079,91.83,96.5,9.33,0.004181,967044.0
2WN,700-800,GL,0-50k,23079,170.42,263.0,0.65,0.011396,24788.0
2WN,700-800,GL,50k-1L,23079,105.08,127.92,0.9,0.005543,70219.0
2WN,700-800,GL,1L-2L,23079,117.08,147.5,2.04,0.006391,138458.0
2WN,700-800,GL,2L-3L,23079,57.42,63.58,1.52,0.002755,238365.0
2WN,700-800,GL,3L-4L,23079,26.42,29.92,1.0,0.001296,333301.0
2WN,700-800,GL,4L-5L,23079,15.33,16.5,0.73,0.000715,442437.0
2WN,700-800,GL,5L+,23079,28.0,32.17,2.8,0.001394,871167.0
2WN,700-800,BL,0-50k,23079,15.92,17.83,0.04,0.000773,19747.0
2WN,700-800,BL,50k-1L,23079,12.42,12.5,0.08,0.000542,64229.0
2WN,700-800,BL,1L-2L,23079,13.58,13.58,0.17,0.000589,122759.0
2WN,700-800,BL,2L-3L,23079,7.33,7.42,0.16,0.000321,216634.0
2WN,700-800,BL,3L-4L,23079,5.75,6.08,0.19,0.000264,320320.0
2WN,700-800,BL,4L-5L,23079,2.7,2.7,0.12,0.000117,430824.0
